nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes,url
Waterlily Cologne,Jo Malone London,,2020,3.81,189,"['floral', 'white floral', 'aquatic', 'fresh', 'musky']",female,moderate,average,overpriced,['Neroli'],"['Water Lily', 'Jasmine Sambac']",['White Musk'],https://www.fragrantica.com/perfume/Jo-Malone-London/Waterlily-Cologne-60483.html
Yuja Cologne,Jo Malone London,,2020,4.06,281,"['woody', 'citrus', 'aromatic', 'fresh spicy', 'green', 'conifer', 'sweet', 'soft spicy', 'fresh', 'bitter']",unisex,moderate,average,overpriced,['Yuzu'],['Clary Sage'],"['Cedar', 'Balsam Fir']",https://www.fragrantica.com/perfume/Jo-Malone-London/Yuja-Cologne-60484.html
Gardenia & Oud Absolu,Jo Malone London,,2020,4.12,163,"['white floral', 'oud', 'animalic', 'musky', 'lactonic', 'amber']",unisex,long lasting,average,overpriced,['White Flowers'],['Gardenia'],"['White Musk', 'Agarwood (Oud)', 'Amber']",https://www.fragrantica.com/perfume/Jo-Malone-London/Gardenia-Oud-Absolu-60223.html
Rose & White Musk Absolu,Jo Malone London,Anne Flipo,2018,3.83,205,"['rose', 'oud', 'musky', 'amber', 'powdery', 'floral', 'animalic']",female,eternal,average,overpriced,[],"['Damask Rose', 'Rose Water']","['White Musk', 'Agarwood (Oud)', 'Amber']",https://www.fragrantica.com/perfume/Jo-Malone-London/Rose-White-Musk-Absolu-49923.html
Violet & Amber Absolu,Jo Malone London,Anne Flipo,2019,3.86,192,"['powdery', 'violet', 'oud', 'amber', 'floral', 'musky', 'ozonic', 'aquatic', 'animalic']",unisex,moderate,average,overpriced,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Violet-Amber-Absolu-58613.html
Amber & Patchouli,Jo Malone London,Christine Nagel,2010,4.03,277,"['amber', 'woody', 'patchouli', 'warm spicy', 'earthy', 'balsamic', 'animalic']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Amber-Patchouli-12927.html
Bronze Wood & Leather,Jo Malone London,,2019,3.98,453,"['smoky', 'leather', 'aromatic', 'woody', 'animalic', 'fresh spicy', 'earthy', 'citrus']",male,moderate,average,ok,['Grapefruit'],"['Juniper', 'Smoke']","['Vetiver', 'Leather']",https://www.fragrantica.com/perfume/Jo-Malone-London/Bronze-Wood-Leather-52803.html
Cypress & Grapevine Cologne Intense,Jo Malone London,Sophie Labbé,2020,3.98,843,"['woody', 'aromatic', 'green', 'fresh spicy']",male,moderate,average,overpriced,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Cypress-Grapevine-Cologne-Intense-61928.html
Dark Amber & Ginger Lily,Jo Malone London,Andrea Lupo,2008,4.13,"2,356","['warm spicy', 'woody', 'amber', 'floral', 'fresh', 'powdery', 'aromatic', 'animalic', 'balsamic']",unisex,moderate,average,ok,"['Ginger', 'Pink Pepper', 'Black Cardamom']","['Water Lily', 'Jasmine', 'Rose', 'Orchid']","['Kyara Incense', 'Sandalwood', 'Patchouli', 'Leather', 'Black Amber']",https://www.fragrantica.com/perfume/Jo-Malone-London/Dark-Amber-Ginger-Lily-3783.html
Hinoki & Cedarwood,Jo Malone London,Anne Flipo,2024,3.94,272,"['woody', 'aromatic', 'fresh spicy']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Hinoki-Cedarwood-96902.html
Incense & Cedrat,Jo Malone London,Marie Salamagne,2015,4.08,398,"['amber', 'fresh spicy', 'aromatic', 'citrus', 'warm spicy', 'balsamic']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Incense-Cedrat-29737.html
Incense & Cedrat Limited Edition,Jo Malone London,Marie Salamagne,2015,3.88,17,"['amber', 'balsamic', 'warm spicy', 'smoky', 'fresh spicy', 'citrus', 'aromatic']",,eternal,average,,"['Lemon', 'Pepper']","['Incense', 'Elemi resin']","['Labdanum', 'Olibanum', 'Benzoin']",https://www.fragrantica.com/perfume/Jo-Malone-London/Incense-Cedrat-Limited-Edition-31772.html
Iris & White Musk,Jo Malone London,Christine Nagel,2010,4.02,230,"['powdery', 'iris', 'musky', 'violet', 'white floral', 'earthy', 'animalic']",female,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Iris-White-Musk-12926.html
Jasmine Sambac & Marigold,Jo Malone London,Celine Roux,2018,4.23,"1,079","['white floral', 'sweet', 'floral', 'yellow floral', 'balsamic', 'aromatic', 'amber', 'honey', 'herbal', 'fresh spicy']",female,moderate,average,ok,['Marigold'],"['Ylang-Ylang', 'Jasmine Sambac', 'Honey']",['Benzoin'],https://www.fragrantica.com/perfume/Jo-Malone-London/Jasmine-Sambac-Marigold-49714.html
Myrrh & Tonka,Jo Malone London,Mathilde Bijaoui,2016,4.21,"5,545","['amber', 'vanilla', 'sweet', 'aromatic', 'warm spicy', 'balsamic', 'lavender', 'almond']",unisex,long lasting,average,ok,['Lavender'],['Myrrh'],"['Tonka Bean', 'Vanilla', 'Almond']",https://www.fragrantica.com/perfume/Jo-Malone-London/Myrrh-Tonka-42027.html
Myrrh & Tonka Cologne Intense,Jo Malone London,,2019,4.14,161,"['amber', 'vanilla', 'sweet', 'warm spicy', 'balsamic', 'almond', 'aromatic', 'nutty']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Myrrh-Tonka-Cologne-Intense-55760.html
Orris & Sandalwood,Jo Malone London,Pierre Negrin,2016,4.04,518,"['powdery', 'iris', 'violet', 'earthy', 'amber', 'woody', 'musky', 'floral', 'aromatic']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Orris-Sandalwood-35021.html
Orris & Sandalwood Limited Edition,Jo Malone London,Pierre Negrin,2016,3.90,21,"['powdery', 'amber', 'musky', 'iris', 'earthy', 'woody', 'violet', 'aromatic', 'fresh spicy']",,,strong,,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Orris-Sandalwood-Limited-Edition-39183.html
Oud & Bergamot,Jo Malone London,Christine Nagel,2010,4.18,"2,624","['citrus', 'oud', 'woody', 'fresh spicy', 'aromatic']",unisex,moderate,average,overpriced,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Oud-Bergamot-12928.html
Rose Water & Vanilla,Jo Malone London,Christine Nagel,2010,4.13,389,"['vanilla', 'sweet', 'citrus', 'white floral', 'powdery', 'rose', 'green', 'aromatic', 'balsamic', 'fresh spicy']",female,moderate,average,ok,"['Neroli', 'Petitgrain']",['Loukhoum'],"['Vanilla', 'Patchouli', 'Musk']",https://www.fragrantica.com/perfume/Jo-Malone-London/Rose-Water-Vanilla-12925.html
Saffron,Jo Malone London,,2013,4.19,243,"['woody', 'warm spicy', 'amber', 'powdery', 'musky', 'metallic', 'leather', 'smoky', 'soft spicy']",unisex,moderate,intimate,ok,"['Pink Pepper', 'Incense', 'Bergamot']","['Sandalwood', 'Saffron', 'Iris']","['Woodsy Notes', 'Guaiac Wood', 'White Musk', 'Amber']",https://www.fragrantica.com/perfume/Jo-Malone-London/Saffron-18546.html
Scarlet Poppy Cologne Intense,Jo Malone London,Mathilde Bijaoui,2021,4.24,495,"['floral', 'vanilla', 'sweet', 'musky', 'amber', 'aromatic', 'fresh spicy', 'warm spicy']",female,moderate,average,ok,['Ambrette (Musk Mallow)'],['Red Poppy'],['Tonka Bean'],https://www.fragrantica.com/perfume/Jo-Malone-London/Scarlet-Poppy-Cologne-Intense-79435.html
Tuberose Angelica,Jo Malone London,Marie Salamagne,2014,4.08,"1,191","['tuberose', 'white floral', 'amber', 'musky', 'animalic', 'powdery', 'woody', 'green']",female,moderate,average,ok,['Angelica'],['Tuberose'],"['Woodsy Notes', 'Amber']",https://www.fragrantica.com/perfume/Jo-Malone-London/Tuberose-Angelica-25069.html
Tuberose Angelica Limited Edition,Jo Malone London,Marie Salamagne,2014,3.97,31,"['tuberose', 'amber', 'white floral', 'musky', 'powdery', 'animalic', 'woody', 'green']",,,intimate,,['Angelica'],['Tuberose'],"['Woody Notes', 'Amber']",https://www.fragrantica.com/perfume/Jo-Malone-London/Tuberose-Angelica-Limited-Edition-26787.html
Velvet Rose & Oud,Jo Malone London,Fabrice Pellegrin,2012,4.22,"2,983","['rose', 'oud', 'sweet', 'floral', 'warm spicy', 'lactonic']",female,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Velvet-Rose-Oud-15286.html
Velvet Rose & Oud Cologne Intense,Jo Malone London,,2019,3.92,52,"['oud', 'rose', 'sweet', 'warm spicy', 'lactonic', 'floral', 'nutty']",unisex,long lasting,strong,ok,['Cloves'],['Damask Rose'],"['Praline', 'Agarwood (Oud)']",https://www.fragrantica.com/perfume/Jo-Malone-London/Velvet-Rose-Oud-Cologne-Intense-55758.html
Vetiver & Golden Vanilla,Jo Malone London,,2020,4.09,"1,007","['aromatic', 'vanilla', 'warm spicy', 'woody', 'earthy', 'green', 'citrus', 'powdery']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Vetiver-Golden-Vanilla-58393.html
Green Wheat & Meadowsweet,Jo Malone London,Mathilde Bijaoui,2018,3.99,179,"['floral', 'green', 'citrus', 'nutty']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Green-Wheat-Meadowsweet-48320.html
Honey & Crocus,Jo Malone London,Mathilde Bijaoui,2018,4.19,358,"['almond', 'honey', 'sweet', 'nutty', 'fruity', 'floral']",female,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Honey-Crocus-48319.html
Oat & Cornflower,Jo Malone London,Mathilde Bijaoui,2018,4.12,301,"['savory', 'nutty', 'woody', 'lactonic', 'floral', 'herbal', 'aromatic']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Oat-Cornflower-48318.html
Poppy & Barley,Jo Malone London,Mathilde Bijaoui,2018,3.90,262,"['powdery', 'floral', 'lactonic', 'sweet', 'fresh spicy', 'fruity', 'herbal', 'aromatic', 'musky']",female,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Poppy-Barley-48316.html
